Test Name,,,,,,SW_SIT,SW_DC,SW_LV_DIE1,CONT4,PRE_OS_GS1,PRE_OS_DS1,SW_LV_DIE2,PRE_OS_GS2,PRE_OS_DS2,SW_LV_DIE,PRE_OS_GS3,PRE_OS_DS3,IGSS1_1,IGSS1_2,BVSS,ISS1,VGS(OFF),RSSON1,RSSON2,VFSS,IGSS2_1,IGSS2_2,ISS2,POST_OS_CHK
Bias1,,,,,,,,,IB=1.000mA,VSG=-5.000V,IS2=250.0uA,,VSG=-5.000V,IS2=250.0uA,,VSG=-5.000V,IS2=250.0uA,VSG=-20.00V,VSG=20.00V,IS2=250.0uA,VS2S1=100.0V,IS2=250.0uA,IS2=15.00A,IS2=15.00A,IS1=3.000A,VSG=-16.00V,VSG=16.00V,VS2S1=80.00V,IS2=250.0uA
Bias2,,,,,,,,,,,VG2S2=0.000V,,,VG2S2=0.000V,,,VG2S2=0.000V,,,,,VG2S2=0.000V,VG1=10.0V,VG1=4.50V,VGS2=10.0V,,,,VG2S2=0.000V
Bias3,,,,,,,,,,,,,,,,,,,,Vmax=200V,,,VG2=10.0V,VG2=4.50V,,,,,
2,5530,1,1,53,95,1.0000,1.0000,1.0000,5.2615,-0.0008,1.4781,1.0000,-0.0001,1.4799,1.0000,-0.0019,1.4793,-1.8046,6.0474,113.60,1.3788,1.4805,42.181,54.972,0.6776,-1.2486,4.4922,0.7190,1.4796
3,5531,1,1,52,94,1.0000,1.0000,1.0000,4.8722,-0.0017,1.4790,1.0000,-0.0007,1.4805,1.0000,-0.0040,1.4793,-0.9493,5.8457,113.87,1.3849,1.4796,42.151,54.891,0.6782,-1.7282,5.7632,0.7269,1.4793
4,5532,1,1,52,95,1.0000,1.0000,1.0000,5.1063,-0.0008,1.4790,1.0000,-0.0033,1.4805,1.0000,-0.0014,1.4802,-0.3322,6.6004,113.84,1.3788,1.4814,42.181,54.931,0.6782,-0.5399,4.8833,0.7217,1.4802
5,5533,1,1,51,94,1.0000,1.0000,1.0000,4.9208,-0.0039,1.4769,1.0000,-0.0001,1.4775,1.0000,-0.0047,1.4775,-0.9187,4.3180,113.93,1.3880,1.4772,42.196,54.911,0.6788,-1.0562,3.9850,0.7303,1.4772
6,5534,1,1,51,95,1.0000,1.0000,1.0000,5.1185,-0.0026,1.4772,1.0000,-0.0001,1.4775,1.0000,-0.0010,1.4775,-2.4827,5.0666,113.93,1.3849,1.4778,42.224,54.972,0.6785,-1.2944,3.3983,0.7245,1.4772
7,5535,1,1,50,94,1.0000,1.0000,1.0000,4.8874,-0.0013,1.4741,1.0000,-0.0036,1.4747,1.0000,-0.0001,1.4741,-2.4400,3.6550,114.03,1.4093,1.4741,42.165,54.850,0.6770,-2.1803,4.1652,0.7400,1.4741
8,5536,1,1,50,95,1.0000,1.0000,1.0000,4.3064,-0.0032,1.4741,1.0000,-0.0004,1.4747,1.0000,-0.0006,1.4747,-0.9004,4.3424,113.99,1.4093,1.4753,42.171,54.911,0.6776,-0.3367,2.8819,0.7388,1.4744
1,5537,1,1,49,94,1.0000,1.0000,1.0000,4.8296,-0.0008,1.4714,1.0000,-0.0003,1.4726,1.0000,-0.0013,1.4714,-2.5194,4.2233,114.15,1.4154,1.4720,42.202,54.891,0.6770,-2.4766,4.5594,0.7415,1.4720
2,5538,1,1,49,95,1.0000,1.0000,1.0000,5.1276,-0.0029,1.4720,1.0000,-0.0016,1.4729,1.0000,-0.0003,1.4735,-0.6132,3.4411,114.12,1.4154,1.4738,42.220,54.931,0.6776,-0.1809,2.6253,0.7418,1.4723
3,5539,1,1,48,94,1.0000,1.0000,1.0000,5.5686,-0.0012,1.4744,1.0000,-0.0009,1.4753,1.0000,-0.0001,1.4747,-3.0387,5.8793,114.18,1.3849,1.4747,42.301,54.992,0.6782,-2.5041,3.3586,0.7309,1.4744
4,5540,1,1,48,95,1.0000,1.0000,1.0000,4.8965,-0.0036,1.4747,1.0000,-0.0004,1.4757,1.0000,-0.0061,1.4753,-2.3422,7.0985,114.18,1.3849,1.4763,42.330,55.012,0.6779,-1.5480,4.1499,0.7287,1.4753
5,5541,1,1,47,94,1.0000,1.0000,1.0000,5.1124,-0.0012,1.4781,1.0000,-0.0003,1.4796,1.0000,-0.0011,1.4781,-0.3505,4.9352,114.12,1.3300,1.4787,42.436,55.155,0.6782,-0.8882,4.3302,0.7034,1.4781
6,5542,1,1,47,95,1.0000,1.0000,1.0000,5.2402,-0.0001,1.4778,1.0000,-0.0010,1.4793,1.0000,-0.0004,1.4796,-2.3269,3.4777,114.03,1.2782,1.4796,42.444,55.155,0.6785,-1.8046,3.2333,0.6742,1.4793
1,5543,1,1,44,94,1.0000,1.0000,1.0000,5.3405,-0.0015,1.4662,1.0000,-0.0030,1.4680,1.0000,-0.0001,1.4671,-0.6285,3.4411,114.24,1.3819,1.4677,42.482,55.134,0.6782,-0.2772,3.3433,0.7300,1.4674
2,5544,1,1,44,95,1.0000,1.0000,1.0000,5.1763,-0.0024,1.4674,1.0000,-0.0042,1.4690,1.0000,0.0000,1.4687,-0.7354,5.8549,114.18,1.3819,1.4696,42.503,55.155,0.6779,-0.8393,4.2386,0.7315,1.4690
3,5545,1,1,43,94,1.0000,1.0000,1.0000,5.5139,-0.0014,1.4668,1.0000,-0.0001,1.4677,1.0000,-0.0046,1.4671,-1.3403,5.4119,114.33,1.3819,1.4674,42.476,55.094,0.6788,-1.8474,5.3263,0.7348,1.4671
4,5546,1,1,43,95,1.0000,1.0000,1.0000,4.9938,-0.0026,1.4671,1.0000,-0.0008,1.4680,1.0000,-0.0030,1.4677,-1.9757,4.9933,114.33,1.3819,1.4680,42.501,55.094,0.6782,-0.7660,4.1988,0.7327,1.4671
5,5547,1,1,42,94,1.0000,1.0000,1.0000,5.1520,-0.0041,1.4629,1.0000,-0.0029,1.4641,1.0000,-0.0060,1.4623,-2.2872,6.8449,114.39,1.3758,1.4632,42.531,55.094,0.6779,-2.0001,5.6777,0.7351,1.4626
6,5548,1,1,42,95,1.0000,1.0000,1.0000,5.0181,-0.0019,1.4623,1.0000,-0.0025,1.4635,1.0000,-0.0004,1.4635,-0.1184,4.3455,114.36,1.3788,1.4638,42.539,55.094,0.6782,-0.3520,4.1194,0.7318,1.4635
7,5549,1,1,41,94,1.0000,1.0000,1.0000,5.1155,-0.0046,1.4574,1.0000,-0.0003,1.4586,1.0000,-0.0044,1.4574,-1.6121,5.1399,114.42,1.4032,1.4583,42.458,55.012,0.6776,-1.4441,2.2342,0.7473,1.4577
8,5550,1,1,41,95,1.0000,1.0000,1.0000,4.4372,-0.0004,1.4574,1.0000,-0.0030,1.4586,1.0000,0.0000,1.4589,-0.7813,4.6297,114.36,1.4093,1.4592,42.462,55.012,0.6773,-0.1870,2.4206,0.7479,1.4583
1,5551,1,1,40,94,1.0000,1.0000,1.0000,5.1337,-0.0002,1.4534,1.0000,-0.0004,1.4540,1.0000,-0.0001,1.4540,-2.6416,3.3922,114.48,1.4063,1.4546,42.501,55.033,0.6770,-1.9176,3.4380,0.7476,1.4540
2,5552,1,1,40,95,1.0000,1.0000,1.0000,5.7755,-0.0014,1.4543,1.0000,-0.0013,1.4546,1.0000,-0.0025,1.4550,-2.3636,3.9147,114.42,1.4154,1.4550,42.523,55.053,0.6766,-2.6538,4.3363,0.7507,1.4546
3,5553,1,1,39,94,1.0000,1.0000,1.0000,4.6836,-0.0021,1.4571,1.0000,-0.0026,1.4574,1.0000,-0.0006,1.4568,-3.3961,7.1962,114.51,1.3697,1.4577,42.492,55.033,0.6779,-2.9196,3.9208,0.7330,1.4568
4,5554,1,1,39,95,1.0000,1.0000,1.0000,5.2797,-0.0006,1.4571,1.0000,-0.0006,1.4580,1.0000,-0.0006,1.4574,-1.1142,6.6524,114.42,1.3727,1.4586,42.519,55.053,0.6776,-0.6071,5.0544,0.7324,1.4577
5,5555,1,1,38,94,1.0000,1.0000,1.0000,6.1587,-0.0011,1.4595,1.0000,-0.0003,1.4613,1.0000,-0.0019,1.4586,-2.9379,6.2246,114.48,1.3118,1.4598,42.616,55.236,0.6779,-2.0734,3.1294,0.7028,1.4589
6,5556,1,1,38,95,1.0000,1.0000,1.0000,5.1793,-0.0016,1.4595,1.0000,-0.0047,1.4616,1.0000,-0.0010,1.4616,-0.1673,5.3019,114.33,1.2569,1.4623,42.637,55.256,0.6779,-0.3719,4.4005,0.6745,1.4616
1,5557,1,1,35,94,1.0000,1.0000,1.0000,5.0759,-0.0005,1.4601,1.0000,-0.0014,1.4635,1.0000,-0.0015,1.4610,-1.8382,3.2975,114.36,1.3514,1.4613,42.570,55.215,0.6779,-1.7068,2.3900,0.7184,1.4610
2,5558,1,1,35,95,1.0000,1.0000,1.0000,4.9299,-0.0008,1.4616,1.0000,-0.0027,1.4644,1.0000,-0.0020,1.4641,-3.1242,6.0077,114.27,1.3544,1.4650,42.590,55.256,0.6776,-2.9990,3.7344,0.7169,1.4647
3,5559,1,1,34,94,1.0000,1.0000,1.0000,5.0668,-0.0005,1.4641,1.0000,-0.0017,1.4668,1.0000,-0.0018,1.4644,-1.6457,6.5790,114.42,1.3605,1.4650,42.533,55.195,0.6782,-1.1539,6.3254,0.7263,1.4641
4,5560,1,1,34,95,1.0000,1.0000,1.0000,5.1976,-0.0021,1.4641,1.0000,-0.0011,1.4662,1.0000,-0.0004,1.4665,-0.5644,4.2936,114.30,1.3605,1.4671,42.545,55.195,0.6788,-0.2100,3.4808,0.7217,1.4662
5,5561,1,1,33,94,1.0000,1.0000,1.0000,4.9664,-0.0008,1.4650,1.0000,-0.0037,1.4674,1.0000,-0.0023,1.4647,-3.3014,6.4904,114.45,1.3636,1.4656,42.570,55.215,0.6788,-2.5499,3.4014,0.7300,1.4650
6,5562,1,1,33,95,1.0000,1.0000,1.0000,5.1854,-0.0014,1.4653,1.0000,-0.0016,1.4680,1.0000,-0.0019,1.4674,-1.1234,6.7440,114.39,1.3636,1.4683,42.592,55.236,0.6785,-0.5949,4.6419,0.7233,1.4674
7,5563,1,1,32,94,1.0000,1.0000,1.0000,4.4159,-0.0015,1.4632,1.0000,-0.0006,1.4656,1.0000,-0.0024,1.4635,-0.4513,3.7222,114.45,1.3880,1.4641,42.492,55.114,0.6776,-0.8149,4.0644,0.7406,1.4635
8,5564,1,1,32,95,1.0000,1.0000,1.0000,5.1459,-0.0057,1.4635,1.0000,-0.0001,1.4659,1.0000,-0.0049,1.4656,-2.0001,4.3608,114.39,1.3971,1.4659,42.497,55.155,0.6779,-1.3800,4.5624,0.7382,1.4659
1,5565,1,1,31,94,1.0000,1.0000,1.0000,5.7542,-0.0005,1.4604,1.0000,-0.0011,1.4626,1.0000,-0.0017,1.4607,-3.1792,5.1980,114.57,1.4002,1.4613,42.556,55.195,0.6776,-2.0276,2.3778,0.7458,1.4604
2,5566,1,1,31,95,1.0000,1.0000,1.0000,5.6386,-0.0023,1.4613,1.0000,-0.0010,1.4629,1.0000,-0.0004,1.4629,-1.0165,5.3263,114.45,1.4063,1.4638,42.576,55.215,0.6776,-0.9584,2.5550,0.7464,1.4629
3,5567,1,1,30,94,1.0000,1.0000,1.0000,4.9725,-0.0009,1.4623,1.0000,-0.0001,1.4647,1.0000,-0.0004,1.4629,-1.9146,5.1674,114.45,1.3788,1.4629,42.625,55.215,0.6782,-2.4888,5.1827,0.7385,1.4629
4,5568,1,1,30,95,1.0000,1.0000,1.0000,5.0151,-0.0014,1.4632,1.0000,-0.0016,1.4644,1.0000,-0.0007,1.4647,-2.9593,6.0688,114.39,1.3849,1.4650,42.647,55.236,0.6785,-2.1223,3.1142,0.7367,1.4641
5,5569,1,1,29,94,1.0000,1.0000,1.0000,6.0857,-0.0022,1.4629,1.0000,-0.0001,1.4659,1.0000,-0.0014,1.4629,-1.0165,5.4363,114.39,1.3361,1.4638,42.643,55.297,0.6788,-0.4544,2.2861,0.7153,1.4629
6,5570,1,1,29,95,1.0000,1.0000,1.0000,6.2438,-0.0008,1.4632,1.0000,-0.0003,1.4659,1.0000,-0.0013,1.4656,-2.6477,5.8488,114.27,1.2813,1.4665,42.661,55.317,0.6785,-1.5755,2.8025,0.6836,1.4656
1,5571,1,1,26,94,1.0000,1.0000,1.0000,5.2280,-0.0004,1.4522,1.0000,-0.0021,1.4537,1.0000,-0.0005,1.4528,-2.2933,4.7366,114.48,1.3636,1.4534,42.411,54.911,0.6776,-2.1070,1.9714,0.7354,1.4531
2,5572,1,1,26,95,1.0000,1.0000,1.0000,5.4409,0.0000,1.4531,1.0000,-0.0005,1.4550,1.0000,-0.0011,1.4553,-1.3647,3.8352,114.39,1.3666,1.4556,42.423,54.911,0.6770,-2.1040,4.2661,0.7361,1.4550
3,5573,1,1,25,94,1.0000,1.0000,1.0000,5.1337,-0.0023,1.4480,1.0000,-0.0021,1.4492,1.0000,-0.0005,1.4483,-0.9462,6.0993,114.51,1.3727,1.4489,42.440,54.891,0.6776,-0.5919,5.8732,0.7437,1.4483
4,5574,1,1,25,95,1.0000,1.0000,1.0000,4.7809,-0.0003,1.4486,1.0000,-0.0005,1.4492,1.0000,-0.0017,1.4489,-2.1498,6.3865,114.48,1.3758,1.4495,42.458,54.891,0.6776,-2.1650,5.7082,0.7431,1.4489
5,5575,1,1,24,94,1.0000,1.0000,1.0000,5.0972,-0.0009,1.4452,1.0000,-0.0004,1.4449,1.0000,-0.0015,1.4449,-2.9837,6.0016,114.51,1.3880,1.4455,42.383,54.769,0.6779,-1.8901,3.5694,0.7516,1.4449
6,5576,1,1,24,95,1.0000,1.0000,1.0000,5.3649,-0.0004,1.4455,1.0000,-0.0046,1.4452,1.0000,-0.0013,1.4452,-0.5369,6.7043,114.45,1.3910,1.4458,42.405,54.810,0.6776,-0.4544,4.2386,0.7504,1.4449
7,5577,1,1,23,94,1.0000,1.0000,1.0000,5.6568,-0.0001,1.4431,1.0000,-0.0016,1.4422,1.0000,-0.0016,1.4434,-2.3269,4.6877,114.42,1.4154,1.4437,42.167,54.505,0.6760,-2.6355,4.5960,0.7647,1.4434
8,5578,1,1,23,95,1.0000,1.0000,1.0000,4.5893,-0.0005,1.4431,1.0000,-0.0002,1.4425,1.0000,-0.0009,1.4425,-0.9370,4.2386,114.39,1.4215,1.4431,42.167,54.546,0.6757,-0.1184,4.3761,0.7662,1.4422
1,5579,1,1,22,94,1.0000,1.0000,1.0000,5.6325,-0.0002,1.4416,1.0000,-0.0004,1.4403,1.0000,-0.0002,1.4413,-2.4797,5.5096,114.51,1.4215,1.4425,42.226,54.607,0.6760,-1.2395,2.5764,0.7671,1.4416
2,5580,1,1,22,95,1.0000,1.0000,1.0000,5.5747,-0.0002,1.4422,1.0000,-0.0004,1.4413,1.0000,-0.0006,1.4410,-0.6988,4.8130,114.42,1.4215,1.4419,42.240,54.607,0.6760,-1.2089,3.6794,0.7678,1.4413
3,5581,1,1,21,94,1.0000,1.0000,1.0000,4.9147,-0.0007,1.4461,1.0000,-0.0005,1.4461,1.0000,-0.0004,1.4464,-2.6966,5.0055,114.42,1.3971,1.4467,42.230,54.627,0.6766,-2.4614,4.4158,0.7574,1.4464
4,5582,1,1,21,95,1.0000,1.0000,1.0000,5.4865,-0.0022,1.4461,1.0000,-0.0009,1.4461,1.0000,-0.0004,1.4461,-0.7660,5.0208,114.39,1.3971,1.4467,42.253,54.647,0.6766,-0.3734,3.3250,0.7568,1.4458
5,5583,1,1,20,94,1.0000,1.0000,1.0000,5.4044,-0.0002,1.4504,1.0000,-0.0002,1.4522,1.0000,-0.0006,1.4507,-0.6407,5.7327,114.24,1.3483,1.4516,42.407,54.870,0.6773,-0.7904,3.8566,0.7327,1.4507
6,5584,1,1,20,95,1.0000,1.0000,1.0000,5.3527,-0.0082,1.4504,1.0000,-0.0001,1.4516,1.0000,-0.0059,1.4522,-0.7538,3.2975,114.15,1.2965,1.4525,42.417,54.891,0.6773,-0.5796,2.8269,0.7037,1.4519
1,5585,1,1,17,94,1.0000,1.0000,1.0000,6.1161,-0.0011,1.4610,1.0000,-0.0013,1.4613,1.0000,-0.0010,1.4610,-1.4869,5.0849,114.24,1.3849,1.4623,42.438,54.952,0.6766,-2.2322,3.8413,0.7519,1.4616
2,5586,1,1,17,95,1.0000,1.0000,1.0000,5.7055,-0.0015,1.4620,1.0000,-0.0001,1.4620,1.0000,-0.0013,1.4616,-2.3972,4.4097,114.18,1.3849,1.4623,42.440,54.952,0.6766,-2.2995,4.8374,0.7513,1.4616
3,5587,1,1,16,94,1.0000,1.0000,1.0000,5.0729,-0.0016,1.4592,1.0000,-0.0009,1.4604,1.0000,-0.0003,1.4598,-0.7538,5.4302,114.24,1.3971,1.4601,42.314,54.769,0.6779,-0.5888,4.9352,0.7623,1.4592
4,5588,1,1,16,95,1.0000,1.0000,1.0000,5.7937,-0.0030,1.4595,1.0000,-0.0003,1.4604,1.0000,-0.0001,1.4607,-2.7027,5.0421,114.27,1.3971,1.4607,42.334,54.810,0.6773,-1.8260,3.6794,0.7592,1.4604
5,5589,1,1,15,94,1.0000,1.0000,1.0000,5.4713,-0.0012,1.4589,1.0000,-0.0001,1.4604,1.0000,-0.0002,1.4583,-1.6274,7.1076,114.27,1.3971,1.4595,42.413,54.891,0.6776,-0.5796,3.7252,0.7650,1.4586
6,5590,1,1,15,95,1.0000,1.0000,1.0000,5.4926,-0.0029,1.4589,1.0000,-0.0017,1.4601,1.0000,-0.0007,1.4604,-2.0154,6.4140,114.24,1.3910,1.4610,42.434,54.911,0.6776,-2.4033,3.8077,0.7592,1.4607
7,5591,1,1,14,94,1.0000,1.0000,1.0000,4.2061,-0.0008,1.4577,1.0000,-0.0001,1.4595,1.0000,-0.0017,1.4571,-1.4900,5.9282,114.30,1.4154,1.4583,42.342,54.789,0.6766,-0.9432,4.4005,0.7745,1.4574
8,5592,1,1,14,95,1.0000,1.0000,1.0000,4.4707,-0.0021,1.4574,1.0000,-0.0009,1.4589,1.0000,-0.0017,1.4592,-1.3647,4.5319,114.24,1.4215,1.4598,42.338,54.830,0.6766,-0.1565,2.9430,0.7736,1.4592
1,5593,1,1,13,94,1.0000,1.0000,1.0000,5.8363,-0.0004,1.4559,1.0000,-0.0008,1.4589,1.0000,-0.0027,1.4568,-1.6335,3.0561,114.24,1.4245,1.4571,42.257,54.769,0.6760,-1.4014,2.1425,0.7775,1.4565
2,5594,1,1,13,95,1.0000,1.0000,1.0000,6.2499,-0.0002,1.4574,1.0000,-0.0004,1.4595,1.0000,-0.0015,1.4595,-3.1090,5.2591,114.27,1.4245,1.4604,42.283,54.789,0.6757,-2.3697,2.4969,0.7766,1.4592
3,5595,1,1,12,94,1.0000,1.0000,1.0000,5.8941,-0.0010,1.4607,1.0000,-0.0024,1.4641,1.0000,-0.0032,1.4610,-1.0226,7.5568,114.24,1.3849,1.4620,42.346,54.870,0.6770,-1.0287,4.6083,0.7641,1.4607
4,5596,1,1,12,95,1.0000,1.0000,1.0000,5.8789,-0.0003,1.4613,1.0000,-0.0028,1.4638,1.0000,-0.0017,1.4635,-2.4797,6.1054,114.21,1.3849,1.4641,42.366,54.870,0.6766,-2.6019,5.0727,0.7611,1.4638
5,5597,1,1,11,94,1.0000,1.0000,1.0000,5.3375,-0.0001,1.4632,1.0000,-0.0018,1.4671,1.0000,-0.0013,1.4632,-2.8860,5.1002,114.15,1.3453,1.4635,42.517,55.073,0.6776,-2.3147,2.3839,0.7425,1.4629
6,5598,1,1,11,95,1.0000,1.0000,1.0000,5.4926,-0.0016,1.4635,1.0000,-0.0019,1.4674,1.0000,-0.0024,1.4674,-2.0948,4.8191,113.99,1.2965,1.4680,42.535,55.094,0.6770,-2.2170,4.9138,0.7138,1.4671
1,5599,1,1,8,94,1.0000,1.0000,1.0000,5.8180,-0.0008,1.4683,1.0000,-0.0006,1.4687,1.0000,-0.0011,1.4693,-0.5399,3.6152,113.90,1.3819,1.4699,42.696,55.256,0.6770,-0.4880,3.8138,0.7611,1.4696
2,5600,1,1,8,95,1.0000,1.0000,1.0000,6.5510,-0.0054,1.4693,1.0000,-0.0006,1.4687,1.0000,-0.0030,1.4690,-1.7435,4.9108,113.87,1.3788,1.4693,42.708,55.276,0.6770,-1.5510,2.1028,0.7586,1.4690
3,5601,1,1,7,94,1.0000,1.0000,1.0000,5.1185,-0.0029,1.4683,1.0000,-0.0001,1.4683,1.0000,-0.0005,1.4677,-3.0876,8.1618,113.93,1.3727,1.4690,42.905,55.459,0.6782,-2.3880,4.9505,0.7571,1.4680
4,5602,1,1,7,95,1.0000,1.0000,1.0000,5.8059,-0.0011,1.4683,1.0000,-0.0001,1.4683,1.0000,-0.0002,1.4683,-0.5460,6.2643,113.78,1.3697,1.4690,42.928,55.459,0.6782,-0.8943,4.6938,0.7531,1.4687
5,5603,1,1,6,94,1.0000,1.0000,1.0000,6.6544,-0.0022,1.4705,1.0000,-0.0010,1.4711,1.0000,-0.0011,1.4711,-1.7465,4.4463,113.66,1.3697,1.4708,43.182,55.723,0.6788,-1.8840,4.0980,0.7495,1.4708
6,5604,1,1,6,95,1.0000,1.0000,1.0000,5.8059,-0.0023,1.4705,1.0000,-0.0001,1.4711,1.0000,-0.0047,1.4711,-2.2995,5.3385,113.63,1.3636,1.4717,43.206,55.763,0.6785,-0.9279,3.2975,0.7428,1.4711
7,5605,1,1,5,94,1.0000,1.0000,1.0000,4.8691,-0.0027,1.4693,1.0000,-0.0015,1.4711,1.0000,-0.0006,1.4696,-1.8657,4.1622,113.36,1.3880,1.4696,43.460,56.027,0.6794,-1.6793,2.2097,0.7473,1.4693
8,5606,1,1,5,95,1.0000,1.0000,1.0000,4.8874,-0.0027,1.4693,1.0000,-0.0010,1.4714,1.0000,-0.0019,1.4717,-0.4636,3.6580,113.23,1.3849,1.4717,43.466,56.027,0.6791,-0.6163,3.8566,0.7418,1.4714
1,5607,1,1,6,96,1.0000,1.0000,1.0000,6.3473,-0.0041,1.4638,1.0000,-0.0047,1.4635,1.0000,-0.0015,1.4635,-2.7974,5.0483,113.54,1.4063,1.4644,43.324,55.804,0.6782,-2.9104,4.2202,0.7611,1.4638
2,5608,1,1,6,97,1.0000,1.0000,1.0000,6.1800,-0.0013,1.4638,1.0000,-0.0014,1.4644,1.0000,-0.0004,1.4641,-0.8118,4.3088,113.48,1.4063,1.4647,43.334,55.844,0.6785,-0.5185,4.4952,0.7580,1.4641
3,5609,1,1,5,96,1.0000,1.0000,1.0000,5.2037,-0.0042,1.4690,1.0000,-0.0004,1.4702,1.0000,-0.0026,1.4699,-1.3830,5.4577,113.17,1.3819,1.4699,43.682,56.210,0.6806,-1.0165,3.8658,0.7397,1.4693
4,5610,1,1,5,97,1.0000,1.0000,1.0000,5.3223,-0.0002,1.4699,1.0000,-0.0009,1.4702,1.0000,-0.0017,1.4702,-2.8463,6.5699,113.11,1.3758,1.4708,43.700,56.230,0.6800,-2.1956,3.5939,0.7324,1.4699
5,5611,1,1,4,96,1.0000,1.0000,1.0000,5.8089,-0.0019,1.4683,1.0000,-0.0007,1.4683,1.0000,-0.0014,1.4680,-0.9523,6.8204,112.81,1.3727,1.4690,44.188,56.758,0.6815,-0.8087,3.8475,0.7242,1.4683
6,5612,1,1,4,97,1.0000,1.0000,1.0000,5.4227,-0.0066,1.4680,1.0000,-0.0004,1.4683,1.0000,-0.0010,1.4687,-0.3841,3.9452,112.69,1.3758,1.4690,44.194,56.758,0.6815,-0.2833,3.8169,0.7175,1.4683
7,5613,1,1,3,96,1.0000,1.0000,1.0000,4.7140,-0.0018,1.4683,1.0000,-0.0018,1.4693,1.0000,-0.0009,1.4680,-2.7332,5.4638,112.50,1.4002,1.4687,44.631,57.245,0.6818,-2.3850,2.4725,0.7236,1.4683
8,5614,1,1,3,97,1.0000,1.0000,1.0000,4.6076,-0.0029,1.4687,1.0000,-0.0007,1.4699,1.0000,-0.0008,1.4690,-1.8076,6.7226,112.47,1.3971,1.4702,44.635,57.285,0.6815,-1.0531,3.9300,0.7214,1.4696
1,5615,1,1,10,96,1.0000,1.0000,1.0000,7.7980,-0.0019,1.4635,1.0000,-0.0004,1.4577,1.0000,-0.0018,1.4641,-3.0662,3.6152,113.87,1.1715,1.4647,42.647,55.215,0.6770,-2.1467,2.7719,0.6504,1.4644
2,5616,1,1,10,97,1.0000,1.0000,1.0000,6.9951,-0.0018,1.4641,1.0000,-0.0033,1.4586,1.0000,-0.0006,1.4592,-1.0562,4.5624,113.93,1.4184,1.4592,42.661,55.236,0.6770,-0.2497,2.2831,0.7751,1.4583
3,5617,1,1,9,96,1.0000,1.0000,1.0000,5.8028,-0.0015,1.4690,1.0000,-0.0007,1.4626,1.0000,-0.0018,1.4696,-0.7354,6.4293,113.75,1.1289,1.4702,42.907,55.479,0.6785,-1.0653,5.8427,0.6306,1.4699
4,5618,1,1,9,97,1.0000,1.0000,1.0000,6.2438,-0.0005,1.4693,1.0000,-0.0009,1.4620,1.0000,-0.0002,1.4620,-1.5724,4.6602,113.75,1.3880,1.4623,42.907,55.459,0.6785,-1.4533,3.2669,0.7565,1.4620
5,5619,1,1,8,96,1.0000,1.0000,1.0000,5.8606,-0.0016,1.4632,1.0000,-0.0003,1.4620,1.0000,-0.0007,1.4635,-2.0734,5.7480,113.90,1.3880,1.4635,42.867,55.378,0.6785,-0.6591,3.3800,0.7607,1.4632
6,5620,1,1,8,97,1.0000,1.0000,1.0000,5.7846,-0.0006,1.4635,1.0000,-0.0011,1.4620,1.0000,-0.0007,1.4620,-0.2681,5.8549,113.78,1.3910,1.4629,42.889,55.378,0.6779,-0.3994,5.1735,0.7598,1.4620
7,5621,1,1,7,96,1.0000,1.0000,1.0000,5.0334,-0.0010,1.4613,1.0000,-0.0002,1.4610,1.0000,-0.0009,1.4616,-0.8240,3.7069,113.72,1.4093,1.4623,43.084,55.581,0.6782,-0.1031,2.4083,0.7693,1.4616
8,5622,1,1,7,97,1.0000,1.0000,1.0000,4.7414,-0.0005,1.4616,1.0000,-0.0007,1.4607,1.0000,-0.0016,1.4607,-2.8310,4.9719,113.72,1.4123,1.4616,43.086,55.601,0.6776,-1.8474,2.8789,0.7659,1.4607
1,5623,1,1,14,96,1.0000,1.0000,1.0000,6.4050,-0.0002,1.4562,1.0000,-0.0012,1.4613,1.0000,-0.0011,1.4568,-2.5011,4.1530,114.21,1.4459,1.4577,42.303,54.789,0.6754,-2.7454,4.5044,0.7867,1.4577
2,5624,1,1,14,97,1.0000,1.0000,1.0000,7.2171,-0.0025,1.4574,1.0000,-0.0014,1.4626,1.0000,-0.0004,1.4623,-0.7996,4.4555,114.18,1.4459,1.4629,42.320,54.850,0.6757,-0.5063,4.6083,0.7873,1.4623
3,5625,1,1,13,96,1.0000,1.0000,1.0000,5.0212,-0.0003,1.4620,1.0000,-0.0032,1.4644,1.0000,-0.0026,1.4620,-2.6721,5.8641,114.21,1.4123,1.4626,42.389,54.911,0.6766,-2.7699,5.9252,0.7745,1.4623
4,5626,1,1,13,97,1.0000,1.0000,1.0000,5.6082,-0.0006,1.4620,1.0000,-0.0017,1.4644,1.0000,-0.0004,1.4641,-1.6671,5.3171,114.18,1.4093,1.4647,42.413,54.952,0.6770,-0.1550,3.7344,0.7687,1.4641
5,5627,1,1,12,96,1.0000,1.0000,1.0000,6.4142,-0.0017,1.4613,1.0000,-0.0013,1.4629,1.0000,-0.0016,1.4616,-2.0642,5.5310,114.15,1.4002,1.4616,42.438,54.972,0.6776,-1.8351,3.0897,0.7711,1.4613
6,5628,1,1,12,97,1.0000,1.0000,1.0000,6.1526,-0.0007,1.4616,1.0000,-0.0021,1.4632,1.0000,-0.0003,1.4629,-1.7771,6.3010,114.15,1.4002,1.4641,42.470,54.992,0.6773,-0.3628,3.2303,0.7671,1.4629
